,Id,type_id,Name,Web,Email,Tel,Position,Sector
77,78,3,Grupo-BdB,https://web.grupobdb.com,bdb@empresa.com,963016868,General,Distribución de materiales de construcción
78,79,3,Grupo-Gimeno,https://www.grupogimeno.com,gimeno@empresa.com,964851818,General,Servicios
79,80,3,Grupo-Imaga,https://www.grupoimaga.es,imaga@empresa.com,963618787,General,Instalaciones eléctricas
80,81,3,Grupo-Integraval,https://grupointegraval.es,integraval@empresa.com,964307272,General,Construcción
81,82,3,Grupo-JV-Facility-Services,https://grupojv.es,jvfacilityservices@empresa.com,963533030,General,Limpieza e higienización
82,83,3,Grupo-Panstar,https://edem.eu,panstar@empresa.com,963289595,General,Panadero
83,84,3,Grupo-Ribera,https://www.riberasalud.com,ribera@empresa.com,964176868,General,Salud
84,85,3,Grupo-SGS,https://www.sgs.es,sgs@empresa.com,964602121,General,Servicios
85,86,3,Grupo-Simetria,https://simetriagrupo.com,simetria@empresa.com,964876464,General,Servicios
86,87,3,Grupo-StartGo,https://www.startgoconnection.es,startgo@empresa.com,963924545,General,Marketing y Publicidad
87,88,3,Grupo-Tesela,https://grupotesela.com,tesela@empresa.com,964356767,General,Construcción
88,89,3,Grupotec,https://grupotec.es,tec@empresa.com,964906767,General,Ingeniería
89,90,3,Herbolario-Navarro,https://www.herbolarionavarro.es,herbolarionavarro@empresa.com,963087373,General,Herbolario y ecotienda
90,91,3,Hidro-water,https://hidro-water.com,hidrowater@empresa.com,963582828,General,Industria del agua
91,92,3,Howden-Iberia,https://www.howdeniberia.com,howdeniberia@empresa.com,963329393,General,Seguros
92,93,3,Ibercacao,https://www.ibercacao.es,ibercacao@empresa.com,963335555,General,Alimentación
93,94,3,Ice-Cream-Factory,https://www.icfc.es,icecreamfactory@empresa.com,963683535,General,Alimentación
94,95,3,Ideas-Interiorismo,https://ideasinteriorismo.com,ideasinteriorismo@empresa.com,964958080,General,Arquitectura
95,96,3,Implica-Corporate-Finance,https://implicacf.com,implicacorporatefinance@empresa.com,963156161,General,Fusiones & Adquisiciones / Financiación & Deuda
96,97,3,Improven,https://www.improven.com,improven@empresa.com,963549191,General,Consultoría de empresas
97,98,3,Indaws-Business-Solutions,https://www.indaws.es,indawsbusinesssolutions@empresa.com,964362929,General,Consultoría tecnológica
98,99,3,Indosuez-Wealth-Management,https://spain.ca-indosuez.com,indosuezwealthmanagement@empresa.com,964101515,General,Financiero
99,100,3,Infraca,https://www.infraca.com,infraca@empresa.com,963725353,General,Puertas industriales
100,101,3,Inside-Logistics,https://www.insidelogistics.com,insidelogistics@empresa.com,963503737,General,Logístico
101,102,3,ITC-Packaging,https://www.itc-packaging.com,itcpackaging@empresa.com,963426060,General,Packaging
102,103,3,Itene,https://www.itene.com,itene@empresa.com,964429999,General,"Envase, embalaje, transporte y logística"
103,104,3,Jovi-Serrano,https://www.aviserrano.com,joviserrano@empresa.com,964458080,General,Alimentación
104,105,3,KPMG,https://home.kpmg,kpmg@empresa.com,963929696,General,Servicios profesionales
105,106,3,Logifruit,https://logifruit.es,logifruit@empresa.com,963453636,General,Logística
106,107,3,Mazel-Asistencia-Industrial,https://mazel.es,mazelasistenciaindustrial@empresa.com,964315757,General,Ingeniería industrial
107,108,3,Minusval-Eil,https://www.minusval.es,minusvaleil@empresa.com,963475757,General,Limpieza
108,109,3,Moyca,http://www.moyca.org,moyca@empresa.com,963477979,General,Agroalimentario
109,110,3,MSC,https://www.msc.com,msc@empresa.com,964019999,General,Transporte
110,111,3,Nexo-Global-Management,https://www.nexotelecom.es,nexoglobalmanagement@empresa.com,964278282,General,Consultoría tecnológica
111,112,3,NTT-Data,https://www.nttdata.com,nttdata@empresa.com,963728585,General,Servicios IT
112,113,3,Nunsys,https://www.nunsys.com,nunsys@empresa.com,963398686,General,TIC
113,114,3,Obras-AT4,https://at4grupo.es,obrasat4@empresa.com,964552929,General,Construcción
114,115,3,Olivares-Consultores-Inmobiliarios,https://www.olivaresconsultores.es,olivaresconsultoresinmobiliarios@empresa.com,963158888,General,Proptech/Inmobiliario
115,116,3,PageGroup,https://www.page.com,pagegroup@empresa.com,963129999,General,Consultoría estratégica
116,117,3,Paletas-Marpa,https://paletasmarpa.es,paletasmarpa@empresa.com,964267474,General,Industria cárnica
117,118,3,PCS,https://www.pcs.es,pcs@empresa.com,963539494,General,Alimentación
118,119,3,PFS,https://www.pfsgroup.es,pfs@empresa.com,964116363,General,Consultoría tecnológica
119,120,3,Pinturas-Blatem,https://www.blatem.com,pinturasblatem@empresa.com,963777878,General,Producción industrial
120,121,3,Pinturas-Isaval,https://www.isaval.es,pinturasisaval@empresa.com,964522929,General,Producción industrial
121,122,3,PPG,https://www.ppg.com,ppg@empresa.com,964714141,General,Industria química
122,123,3,Reca-Hispania,https://es.reca.com,recahispania@empresa.com,963207373,General,Comercio de metal
123,124,3,RFL-Cargo,https://rflcargo.com,rflcargo@empresa.com,964477171,General,Transitario/logística
124,125,3,Rolser,https://www.rolser.com,rolser@empresa.com,964104343,General,Productos de menaje
125,126,3,Royo-Group,https://www.royogroup.com,royogroup@empresa.com,964117878,General,Mueble del baño
126,127,3,S2-GRUPO,https://s2grupo.es,s2grupo@empresa.com,964586868,General,Ciberseguridad
127,128,3,Saica-Pack,https://edem.eu,saicapack@empresa.com,964794747,General,Papelero y embalaje
128,129,3,Sanitas-Seguros,https://www.sanitas.es,sanitasseguros@empresa.com,963672424,General,Seguros
129,130,3,Schindler,https://www.schindler.com,schindler@empresa.com,964819898,General,Ascensores y escaleras mecánicas
130,131,3,Smart-Fan,https://smartfan.es,smartfan@empresa.com,964391515,General,Construcción
131,132,3,Smurfit-Kappa,https://www.smurfitkappa.com,smurfitkappa@empresa.com,963515555,General,Servicios
132,133,3,SPB,https://www.spb.es,spb@empresa.com,963106868,General,Químico y gran consumo
133,134,3,SUE-Abogados,https://www.sueabogados.com,sueabogados@empresa.com,963210000,General,Abogacía
134,135,3,Tareca-Vending,https://www.tarecavending.com,tarecavending@empresa.com,964126767,General,Servicio vending
135,136,3,Teika,https://teika.es,teika@empresa.com,963053232,General,Distribución
136,137,3,Teoxane,https://www.teoxane.com,teoxane@empresa.com,963318787,General,Medicina estética
137,138,3,Tiba,https://www.tibagroup.com,tiba@empresa.com,963382121,General,Transitarios/Logística
138,139,3,Transbenifayo,http://www.transbenifayo.com,transbenifayo@empresa.com,963938282,General,Transporte
139,140,3,Triangle-Solutions-RRHH,https://www.trianglerrhh.es,trianglesolutionsrrhh@empresa.com,964730303,General,Consultoría RRHH
140,141,3,Unilabs,https://www.unilabs.es,unilabs@empresa.com,963537474,General,Salud
141,142,3,Velarte,https://www.velarte.com,velarte@empresa.com,963209292,General,Alimentación
142,143,3,Viokox,https://viokox.com,viokox@empresa.com,963647575,General,Higiene personal y cosméticos
143,144,3,Vithas-Sanidad,https://vithas.es,vithassanidad@empresa.com,964481919,General,Medicina y salud
144,145,3,Viva-Aquaservice,https://www.aquaservice.com,vivaaquaservice@empresa.com,963576262,General,Servicios
145,146,3,VIVA!-Conversion,https://www.vivaconversion.es,viva!conversion@empresa.com,964468585,General,Marketing y publicidad
146,147,3,Vygon,https://www.vygon.es,vygon@empresa.com,963064949,General,Material médico-quirúrgico
147,148,3,Yacare,https://yacare.es,yacare@empresa.com,963317373,General,Retail
148,149,3,Air-Nostrum,http://www.airnostrum.es,airnostrum@empresa.com,964504040,General,Aviación
149,150,4,ANECOOP,http://www.anecoop.com,anecoop@empresa.com,963461818,General,Agroalimentario
150,151,4,Angels,http://angelscapital.es,angels@empresa.com,964136060,General,Gestión de Inversiones
151,152,4,Atitlan,http://www.atitlan.es,atitlan@empresa.com,963002020,General,Grupo Inversor
152,153,4,AVE,http://www.ave.org.es,ave@empresa.com,963307474,General,Asociación empresarial
153,154,4,Banco-Sabadell,https://www.bancsabadell.com,bancosabadell@empresa.com,963720202,General,Bancario
154,155,4,CaixaBank,https://www.caixabank.es,caixabank@empresa.com,964249595,General,Bancario
155,156,4,Cajamar,https://www.cajamar.es,cajamar@empresa.com,963517575,General,Bancario
156,157,4,Capgemini,https://www.capgemini.com,capgemini@empresa.com,963648787,General,Consultoría tecnológica
157,158,4,Coca-Cola,http://www.ccepiberia.com,cocacola@empresa.com,963171010,General,Fabricación y comercialización de bebidas
158,159,4,Deloitte,http://www.deloitte.es,deloitte@empresa.com,963019999,General,Servicios profesionales
159,160,4,Forvasa,https://edem.eu,forvasa@empresa.com,964180101,General,Alimentación
160,161,4,Garrigues,http://www.garrigues.com,garrigues@empresa.com,964696767,General,Asesoría fiscal y legal
161,162,4,Grupo-Palma,http://grupopalma.es,palma@empresa.com,964354545,General,"Automovilístico, sanitario, inmobiliario y educación"
162,163,4,Helados-Estiu,http://www.helados-estiu.com,heladosestiu@empresa.com,963247474,General,Alimentación
163,164,4,Idom,http://www.idom.com,idom@empresa.com,963282525,General,"Ingeniería industrial, arquitectura y consultoría"
164,165,4,Importaco,http://www.importaco.com,importaco@empresa.com,964201515,General,Alimentación y bebidas
165,166,4,Inmoalameda,https://edem.eu,inmoalameda@empresa.com,963676868,General,Tenencia y gestión de sociedades
166,167,4,Mercadona,http://www.mercadona.es,mercadona@empresa.com,963953535,General,Distribución
167,168,4,Pamesa,http://www.pamesa.com,pamesa@empresa.com,964354545,General,Cerámica
168,169,4,PwC,http://www.pwc.es,pwc@empresa.com,963318686,General,Servicios profesionales
169,170,4,Schreiber-Foods,https://www.schreiberfoods.com,schreiberfoods@empresa.com,963608080,General,Alimentación
170,171,4,Torrecid,http://www.torrecid.com,torrecid@empresa.com,963611010,General,Cerámica y vidrio
171,172,4,Vodafone,http://vodafone.es,vodafone@empresa.com,963041818,General,Telecomunicaciones
172,173,5,Universidad de Madrid,https://universidaddemadrid.com,info@universidaddemadrid.com,964934702,General,Educación
173,174,5,Universidad de Sevilla,https://universidaddesevilla.com,info@universidaddesevilla.com,963421763,General,Educación
174,175,5,Colegio Valenciano,https://colegiovalenciano.com,info@colegiovalenciano.com,964352029,General,Educación
175,176,5,Instituto Benicalap,https://institutobenicalap.com,info@institutobenicalap.com,963241497,General,Educación
176,177,5,Colegio Santa María,https://colegiosantamaria.com,info@colegiosantamaria.com,963199090,General,Educación
177,178,5,Colegio La Salle,https://colegiolasalle.com,info@colegiolasalle.com,963413229,General,Educación
178,179,5,Universidad Complutense de Madrid,https://universidadcomplutensedemadrid.com,info@universidadcomplutensedemadrid.com,964084093,General,Educación
179,180,5,Colegio Cervantes,https://colegiocervantes.com,info@colegiocervantes.com,964932451,General,Educación
180,181,5,Colegio San Ignacio,https://colegiosanignacio.com,info@colegiosanignacio.com,964248364,General,Educación
181,182,5,Colegio San José,https://colegiosanjose.com,info@colegiosanjose.com,964828909,General,Educación
182,183,5,Universidad de Barcelona,https://universidaddebarcelona.com,info@universidaddebarcelona.com,964336820,General,Educación
183,184,5,Colegio San Francisco,https://colegiosanfrancisco.com,info@colegiosanfrancisco.com,963349942,General,Educación
184,185,5,Universidad Pablo de Olavide,https://universidadpablodeolavide.com,info@universidadpablodeolavide.com,963723508,General,Educación
185,186,5,Universidad de Valencia,https://universidaddevalencia.com,info@universidaddevalencia.com,964223584,General,Educación
186,187,5,Universidad Politécnica de Barcelona,https://universidadpolitecnicadebarcelona.com,info@universidadpolitecnicadebarcelona.com,964128189,General,Educación
187,188,5,Colegio Sagrado Corazón,https://colegiosagradocorazon.com,info@colegiosagradocorazon.com,964637677,General,Educación
188,189,5,Colegio Montessori,https://colegiomontessori.com,info@colegiomontessori.com,963852606,General,Educación
189,190,5,Colegio El Carmen,https://colegioelcarmen.com,info@colegioelcarmen.com,964236371,General,Educación
190,191,5,Universidad Politécnica de Valencia,https://universidadpolitecnicadevalencia.com,info@universidadpolitecnicadevalencia.com,964884943,General,Educación
191,192,5,Colegio La Presentación,https://colegiolapresentacion.com,info@colegiolapresentacion.com,964091928,General,Educación
192,193,5,Colegio San Vicente,https://colegiosanvicente.com,info@colegiosanvicente.com,964814106,General,Educación
193,194,5,Colegio San Antonio,https://colegiosanantonio.com,info@colegiosanantonio.com,964886746,General,Educación
194,195,5,Colegio Nuestra Señora de los Desamparados,https://colegionuestrasenoradelosdesamparados.com,info@colegionuestrasenoradelosdesamparados.com,964091976,General,Educación
195,196,5,Universidad Rey Juan Carlos,https://universidadreyjuancarlos.com,info@universidadreyjuancarlos.com,963954427,General,Educación
196,197,5,Universidad Autónoma de Madrid,https://universidadautonomademadrid.com,info@universidadautonomademadrid.com,964208403,General,Educación
197,198,5,Universidad Politécnica de Madrid,https://universidadpolitecnicademadrid.com,info@universidadpolitecnicademadrid.com,964172962,General,Educación
